Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term (months),Default_Status (Yes/No)
CUST_55,34,473813,991208,521,12,Yes
CUST_56,37,1107651,238929,376,48,No
CUST_57,56,909132,1235270,361,60,Yes
CUST_58,60,473022,920229,770,12,No
CUST_59,24,989417,291540,456,60,Yes
CUST_60,22,691121,1067507,424,48,Yes
CUST_61,26,1453296,1062211,460,60,No
CUST_62,62,1814099,296476,840,48,No
CUST_63,24,481075,1079237,834,60,No
CUST_64,49,1341452,1046836,405,60,Yes
CUST_65,38,724624,1463110,430,24,Yes
CUST_66,46,1029365,1457576,656,48,No
CUST_67,64,1202403,475910,301,36,Yes
CUST_68,54,1556256,72995,532,60,Yes
CUST_69,30,793792,928752,668,12,No
CUST_70,56,823502,491168,550,24,No
CUST_71,34,1430796,1090532,407,24,Yes
CUST_72,51,313936,739197,575,60,Yes
CUST_73,35,216279,1169375,479,36,Yes
CUST_74,28,1448313,549471,592,24,Yes
CUST_75,34,1352327,805027,474,48,No
CUST_76,43,1615153,1135852,422,60,Yes
CUST_77,60,1319962,1295703,526,60,No
CUST_78,41,286124,366759,743,36,No
CUST_79,36,1616470,539858,727,48,No
CUST_80,65,536199,60514,382,48,No
CUST_81,38,291911,97456,364,36,No
CUST_82,44,1085050,57233,580,12,Yes
CUST_83,46,1719065,1361822,690,48,No
CUST_84,45,922030,1164709,727,12,No
CUST_85,65,1193978,883147,406,12,Yes
CUST_86,61,647244,946977,847,60,No
CUST_87,49,1469670,678373,561,60,No
CUST_88,35,576036,683389,458,24,Yes
CUST_89,65,437723,1498048,564,60,No
CUST_90,21,1581848,1207260,767,48,Yes
CUST_91,45,1659900,1425520,501,48,No
CUST_92,27,1038927,669225,454,12,Yes
CUST_93,29,282806,1307848,312,48,Yes
CUST_94,44,931893,1319570,596,60,No
CUST_95,21,1478673,1037886,797,60,No
CUST_96,64,1174334,177602,544,60,No
CUST_97,28,1192144,862002,599,36,No
CUST_98,44,397478,1400093,661,48,Yes
CUST_99,31,687436,1403739,653,24,No
CUST_100,37,1943455,243691,820,48,No
CUST_101,28,1560369,328187,685,48,No
CUST_102,55,1938460,282362,611,36,No
CUST_103,55,689709,247008,713,48,No
CUST_104,53,1937821,331383,577,12,Yes
CUST_105,25,637585,1240064,655,60,Yes
CUST_106,62,1480780,918408,824,60,No
CUST_107,59,557546,598694,315,36,Yes
CUST_108,61,1017108,1362595,344,60,Yes
CUST_109,48,1050525,545288,620,12,Yes
CUST_110,27,1689556,1497544,625,36,Yes
CUST_111,29,381871,529969,447,24,Yes
CUST_112,28,541558,259097,654,60,No
CUST_113,32,698512,444569,535,48,Yes
CUST_114,54,1603815,732346,404,12,Yes
CUST_115,53,967442,1054411,773,12,No
CUST_116,43,1845171,1072405,695,60,No
CUST_117,44,675278,851123,745,24,No
CUST_118,57,494067,250919,519,48,Yes
CUST_119,55,579593,884507,741,24,No
CUST_120,64,694955,1109370,327,24,Yes
CUST_121,60,1484574,249542,774,60,No
CUST_122,42,1720180,1436650,604,48,Yes
CUST_123,47,1685183,1140284,704,60,Yes
CUST_124,55,1246195,943061,812,60,No
CUST_125,21,846045,1273045,801,12,No
CUST_126,55,1826528,697601,647,60,Yes
CUST_127,57,1017459,857784,539,36,Yes
CUST_128,34,890824,1454568,636,48,No
CUST_129,23,1545205,810956,325,12,No
CUST_130,21,1508014,1056425,708,48,No
CUST_131,25,350528,881431,376,12,Yes
CUST_132,46,668011,213543,516,36,Yes
CUST_133,34,497698,421557,627,60,Yes
CUST_134,59,1557642,549964,322,12,Yes
CUST_135,47,1524129,104213,609,12,Yes
CUST_136,29,924687,950341,566,12,No
CUST_137,35,946760,849458,714,36,No
CUST_138,35,498783,1337273,566,48,No
CUST_139,46,1479758,397328,632,36,Yes
CUST_140,62,1705419,55435,749,12,No
CUST_141,33,1337613,189565,546,12,Yes
CUST_142,52,1982776,1301875,335,60,Yes
CUST_143,59,1958136,895753,700,36,No
CUST_144,52,948423,970267,327,36,Yes
CUST_145,24,1437063,1381109,519,24,Yes
CUST_146,50,218074,81498,705,48,Yes
CUST_147,57,870909,937977,570,24,Yes
CUST_148,43,1540683,610113,810,24,No
CUST_149,59,1733248,1377654,585,48,Yes
CUST_150,65,956967,579862,753,60,No
CUST_151,35,776553,969091,616,60,No
CUST_152,63,216061,92782,596,48,Yes
CUST_153,49,1700018,1071728,637,48,Yes
CUST_154,56,1408458,497628,606,36,No
CUST_155,33,653222,1159137,727,36,No
CUST_156,52,837790,520440,650,36,No
CUST_157,27,1533520,971913,810,36,Yes
CUST_158,42,1626912,514535,824,12,Yes
CUST_159,48,702175,601039,791,12,No
CUST_160,22,1505081,1398894,308,60,Yes
CUST_161,62,831516,106572,796,12,No
CUST_162,65,406548,466443,739,12,No
CUST_163,26,1711252,86069,407,36,Yes
CUST_164,48,650983,787550,544,36,Yes
CUST_165,48,668535,862802,554,48,No
CUST_166,64,696005,832533,332,36,Yes
CUST_167,64,900757,979090,322,48,No
CUST_168,40,1261809,755591,348,48,Yes
CUST_169,50,966565,437902,761,12,No
CUST_170,31,683236,734659,635,36,Yes
CUST_171,48,1929004,1189291,657,12,No
CUST_172,45,1052159,1169369,421,36,Yes
CUST_173,59,1581173,489717,743,12,Yes
CUST_174,53,828423,762494,658,12,No
CUST_175,21,1667624,685960,645,12,No
CUST_176,47,570608,452993,492,60,No
CUST_177,33,417314,1240897,715,12,No
CUST_178,61,737970,1119966,676,24,No
CUST_179,23,1734090,1118945,762,24,No
CUST_180,59,354455,193953,445,24,No
CUST_181,26,1568880,1370307,777,48,No
CUST_182,28,948692,274872,707,12,No
CUST_183,47,485810,517543,585,24,Yes
CUST_184,29,1569537,943441,410,48,No
CUST_185,57,1864062,531127,349,24,Yes
CUST_186,53,627858,531363,313,36,Yes
CUST_187,62,1814694,812922,433,60,Yes
CUST_188,64,1744859,975337,642,12,No
CUST_189,44,734522,1145589,585,60,Yes
CUST_190,35,781904,691629,613,60,Yes
CUST_191,52,471365,964217,596,36,Yes
CUST_192,52,1391058,1245402,463,36,Yes
CUST_193,44,1983991,681872,796,36,No
CUST_194,61,916773,128113,315,48,Yes
CUST_195,32,1249627,539847,643,24,Yes
CUST_196,59,1849782,1133858,377,12,No
CUST_197,22,278116,217809,645,36,No
CUST_198,23,584370,336268,371,12,Yes
CUST_199,57,1477507,445412,569,12,No
CUST_200,37,1555477,442515,586,12,No
CUST_201,22,719385,146651,365,36,Yes
CUST_202,22,1631728,1345125,367,36,Yes
CUST_203,48,1772138,135395,492,24,No
CUST_204,43,1981411,585633,354,36,Yes
CUST_205,57,426572,960976,678,36,No
CUST_206,52,331379,1491149,467,12,No
CUST_207,53,1829753,415837,708,24,No
CUST_208,21,1186399,1183859,807,60,Yes
CUST_209,39,426256,1143060,836,36,No
CUST_210,22,1022376,651802,401,36,Yes
CUST_211,64,1085987,1188711,721,60,No
CUST_212,46,762422,347915,777,12,No
CUST_213,52,620539,238726,419,24,Yes
CUST_214,26,1757997,264223,590,12,Yes
CUST_215,52,402834,946716,787,48,No
CUST_216,24,1729017,1215975,460,36,Yes
CUST_217,31,1476155,565609,377,48,Yes
CUST_218,37,750242,1063071,337,36,Yes
CUST_219,58,910381,1279221,693,48,No
CUST_220,44,1600679,748093,740,60,No
CUST_221,25,951287,1227920,839,36,No
CUST_222,54,1983802,1241408,761,36,Yes
CUST_223,26,1974363,673538,593,48,No
CUST_224,42,1515712,337906,699,24,No
CUST_225,31,726249,1280634,391,48,No
CUST_226,36,736785,1269748,305,36,Yes
CUST_227,53,625767,1234592,570,36,No
CUST_228,29,999687,98825,398,24,No
CUST_229,26,335639,63877,825,12,No
CUST_230,36,960177,473206,493,24,Yes
CUST_231,49,1951939,179065,456,12,No
CUST_232,23,1268965,682731,414,36,No
CUST_233,40,1424171,411756,695,60,No
CUST_234,56,1634522,167674,821,60,Yes
CUST_235,39,523720,1213650,513,48,No
CUST_236,46,1244846,567257,832,24,No
CUST_237,23,1030351,446474,314,24,Yes
CUST_238,39,937463,1350457,718,60,No
CUST_239,40,203358,81629,667,12,Yes
CUST_240,52,550679,1005083,512,24,No
CUST_241,27,701110,1252606,304,12,Yes
CUST_242,61,1501133,852207,530,12,Yes
CUST_243,53,407596,739567,500,12,No
CUST_244,60,830270,1077442,701,12,No
CUST_245,59,428129,312199,448,48,Yes
CUST_246,38,528953,823372,791,48,No
CUST_247,60,817367,1187273,525,60,Yes
CUST_248,21,1304381,738233,468,48,Yes
CUST_249,31,362421,1200081,451,24,Yes
CUST_250,48,1456425,1441440,523,48,Yes
CUST_251,45,1061465,1254966,803,24,Yes
CUST_252,43,438483,83734,849,24,No
CUST_253,51,592551,263299,343,12,Yes
CUST_254,50,1292617,723882,803,60,No
CUST_255,62,470146,192728,540,12,Yes
CUST_256,55,1580503,721253,650,12,No
CUST_257,27,307524,852925,322,48,Yes
CUST_258,36,418306,446848,342,48,Yes
CUST_259,46,1111289,670160,765,24,No
CUST_260,22,744026,1056152,339,48,Yes
CUST_261,21,313776,373923,602,48,Yes
CUST_262,32,380494,743812,474,36,Yes
CUST_263,25,392971,1481907,831,24,No
CUST_264,57,1129896,1215179,760,24,No
CUST_265,52,477785,702168,492,36,Yes
CUST_266,29,1590254,672696,543,24,Yes
CUST_267,61,468449,871247,579,60,No
CUST_268,55,953622,99297,335,60,No
CUST_269,39,1529502,110107,839,36,No
CUST_270,36,1588977,394937,453,48,No
CUST_271,23,436371,459898,322,60,Yes
CUST_272,40,802251,342552,390,36,No
CUST_273,44,846275,714197,689,60,Yes
CUST_274,53,1924502,1245055,658,12,Yes
CUST_275,44,324591,1258957,849,36,No
CUST_276,31,792054,1191766,527,24,Yes
CUST_277,28,730799,826644,501,60,Yes
CUST_278,56,839104,1316560,649,24,No
CUST_279,58,700981,574658,337,36,Yes
CUST_280,60,973720,1474932,799,60,No
CUST_281,40,1143681,836918,342,24,Yes
CUST_282,55,466909,600901,816,48,No
CUST_283,45,1400002,53196,367,48,No
CUST_284,55,1534649,1324585,422,12,No
CUST_285,45,1408468,901271,635,36,No
CUST_286,49,1360152,556528,452,24,No
CUST_287,38,1671315,620141,461,12,Yes
CUST_288,38,1843952,737635,513,36,Yes
CUST_289,22,1183667,908811,675,48,Yes
CUST_290,55,1326101,1214650,742,24,No
CUST_291,36,213780,617497,722,60,No
CUST_292,61,468733,1009991,837,48,No
CUST_293,56,1080096,806355,529,60,No
CUST_294,53,1163443,1352092,358,60,Yes
CUST_295,24,1693285,674588,395,24,No
CUST_296,53,304188,1475402,561,24,Yes
CUST_297,34,817614,107175,653,60,Yes
CUST_298,41,1027385,1200127,611,12,No
CUST_299,40,790073,855408,435,60,Yes
CUST_300,28,1792173,442761,772,60,No
CUST_301,27,1827059,631154,729,24,No
CUST_302,23,1274477,167752,836,36,No
CUST_303,37,1927512,303564,445,48,Yes
CUST_304,53,1673300,343257,823,24,No
CUST_305,32,667927,1314008,386,12,Yes
CUST_306,42,1798328,215486,408,48,Yes
CUST_307,42,1526980,721502,722,24,No
CUST_308,50,849285,1080114,644,24,No
CUST_309,58,497584,820488,565,36,No
CUST_310,58,1605802,1432212,793,12,Yes
CUST_311,65,1092015,1309112,632,12,No
CUST_312,28,780971,1175269,712,24,Yes
CUST_313,47,586350,1133711,490,36,No
CUST_314,47,372502,515448,441,24,No
CUST_315,54,1756570,186262,372,60,No
CUST_316,41,1929041,54331,466,60,Yes
CUST_317,50,1851348,1281834,467,36,Yes
CUST_318,53,974107,1389269,558,24,Yes
CUST_319,48,1054741,262854,738,36,No
CUST_320,53,1032359,600049,410,24,Yes
CUST_321,25,1455062,839694,830,24,Yes
CUST_322,39,1112935,1018763,589,60,No
CUST_323,24,649777,909004,809,48,No
CUST_324,55,341449,830080,474,12,No
CUST_325,37,777880,234544,601,12,Yes
CUST_326,64,1386995,400002,484,36,No
CUST_327,48,495920,1183243,638,12,No
CUST_328,50,1121287,54677,809,60,No
CUST_329,49,1828662,254580,609,48,No
CUST_330,26,335370,180334,806,24,No
CUST_331,55,1056636,413581,645,24,No
CUST_332,61,1072639,1018121,380,60,Yes
CUST_333,57,648377,461811,673,12,No
CUST_334,44,1047084,649559,455,24,No
CUST_335,49,691830,608745,731,12,No
CUST_336,51,1116004,616819,799,60,No
CUST_337,55,443767,254335,446,24,Yes
CUST_338,53,1793786,516516,780,36,No
CUST_339,41,627244,244243,734,48,No
CUST_340,52,704677,307231,818,12,No
CUST_341,43,1662108,823589,368,12,Yes
CUST_342,53,1063428,667423,485,12,Yes
CUST_343,23,1658760,640642,503,12,Yes
CUST_344,38,1016698,687031,312,60,Yes
CUST_345,45,718895,818741,573,60,Yes
CUST_346,62,1475393,1300844,597,60,No
CUST_347,51,617216,966094,350,60,Yes
CUST_348,23,1131515,145057,799,24,No
CUST_349,60,1251442,1136985,668,60,No
CUST_350,44,312669,296889,656,24,No
CUST_351,52,992330,477686,302,36,No
CUST_352,42,480539,199457,553,60,Yes
CUST_353,43,1942955,373860,774,36,No
CUST_354,22,1220747,925584,805,60,Yes
CUST_355,47,466150,1124958,555,36,No
CUST_356,62,889753,126675,449,48,Yes
CUST_357,22,643258,1065100,787,36,No
CUST_358,46,689415,596707,578,24,Yes
CUST_359,37,1147135,1060825,358,12,Yes
CUST_360,60,1606396,131238,745,36,No
CUST_361,53,846012,1092536,412,12,Yes
CUST_362,29,1835765,1324401,788,48,No
CUST_363,63,1093659,324541,706,48,No
CUST_364,59,924857,1418608,666,24,Yes
CUST_365,49,688029,1133745,359,24,No
CUST_366,62,1890056,636470,628,36,No
CUST_367,46,372646,928908,768,60,No
CUST_368,55,1542137,1257989,362,48,Yes
CUST_369,45,550164,227216,483,12,Yes
CUST_370,44,1594359,504988,610,60,No
CUST_371,33,1706798,129360,837,48,No
CUST_372,27,1343457,488863,476,36,Yes
CUST_373,56,442934,173662,728,48,No
CUST_374,65,332659,1197419,372,24,Yes
CUST_375,40,1894552,847406,466,12,Yes
CUST_376,21,701323,686438,524,12,Yes
CUST_377,28,839872,524768,308,24,Yes
CUST_378,36,1958646,275121,535,60,No
CUST_379,34,947108,975581,327,24,Yes
CUST_380,32,1062318,872922,326,12,Yes
CUST_381,43,1136320,699001,849,36,No
CUST_382,35,1989760,1154188,495,60,No
CUST_383,48,1015864,674762,502,48,No
CUST_384,54,1428265,1396879,384,36,No
CUST_385,22,1583093,1051040,329,60,Yes
CUST_386,52,1413865,981310,765,12,No
CUST_387,43,1531604,259417,398,12,Yes
CUST_388,42,467598,261463,489,36,No
CUST_389,45,1847824,943844,311,60,No
CUST_390,42,1350997,318602,329,48,No
CUST_391,42,1486821,347668,337,48,Yes
CUST_392,62,1816482,712213,593,24,No
CUST_393,26,1201452,1401197,659,36,No
CUST_394,35,1295687,1392942,479,60,No
CUST_395,63,632829,592608,411,36,Yes
CUST_396,57,416750,144154,743,48,No
CUST_397,53,320592,626531,320,60,Yes
CUST_398,28,434000,460568,444,12,Yes
CUST_399,64,980277,143476,798,12,No
CUST_400,64,522137,164560,445,60,No
CUST_401,25,1377228,970707,740,36,Yes
CUST_402,59,1126352,1399987,720,36,No
CUST_403,24,708069,919241,615,12,Yes
CUST_404,26,1851536,599656,465,12,Yes
CUST_405,65,1052557,1391704,502,48,No
CUST_406,52,1466092,1302566,795,60,No
CUST_407,50,579653,1356057,767,36,No
CUST_408,55,1310178,50801,684,48,No
CUST_409,60,403117,680826,613,36,No
CUST_410,36,437069,948633,554,12,Yes
CUST_411,33,766510,659557,322,60,No
CUST_412,62,1489660,977473,638,24,No
CUST_413,50,1490894,348113,792,60,No
CUST_414,39,1838197,141679,810,24,No
CUST_415,37,908092,731065,665,48,No
CUST_416,39,1633370,1389083,671,24,Yes
CUST_417,48,1297996,1260368,518,24,Yes
CUST_418,46,799792,977476,774,48,No
CUST_419,57,1775326,662236,722,60,No
CUST_420,46,471604,1317764,655,48,No
CUST_421,43,823607,326999,759,12,No
CUST_422,29,864635,479385,802,12,Yes
CUST_423,32,868629,1360253,326,24,Yes
CUST_424,21,1902457,227476,522,48,Yes
CUST_425,21,1371248,1249217,447,48,No
CUST_426,54,1707734,699362,723,48,No
CUST_427,52,1583640,628725,650,60,No
CUST_428,45,713953,206810,485,36,No
CUST_429,60,617582,974276,714,36,No
CUST_430,65,244036,1188986,728,36,No
CUST_431,21,1397017,1118307,340,60,Yes
CUST_432,36,342867,715491,692,48,No
CUST_433,59,1318597,902756,378,36,No
CUST_434,25,569349,235169,843,48,No
CUST_435,42,1709946,315033,749,24,No
CUST_436,49,885503,583857,773,36,No
CUST_437,23,622641,1305325,441,24,No
CUST_438,32,537283,1183768,550,60,No
CUST_439,46,960592,1185730,593,12,Yes
CUST_440,36,1778232,258542,435,60,Yes
CUST_441,57,1908557,1206649,783,60,No
CUST_442,42,783117,1318470,611,60,No
CUST_443,49,591180,569235,345,36,No
CUST_444,34,1702086,844044,535,24,No
CUST_445,48,1001151,470547,347,36,No
CUST_446,25,1802091,892329,497,12,No
CUST_447,50,833718,1243582,383,60,Yes
CUST_448,25,600782,938976,842,48,No
CUST_449,32,212306,224588,460,12,Yes
CUST_450,36,778110,1395349,727,24,No
CUST_451,46,224042,174746,370,12,Yes
CUST_452,46,608302,594719,819,36,No
CUST_453,41,872747,1286381,351,48,Yes
CUST_454,59,813712,1083290,344,36,No
CUST_455,56,1431266,481231,592,60,Yes
CUST_456,53,947410,805398,764,60,No
CUST_457,50,349395,605673,849,12,No
CUST_458,57,1790883,382343,679,60,No
CUST_459,43,1061858,1399397,777,60,No
CUST_460,30,1813727,1216680,561,24,Yes
CUST_461,25,1238457,1111394,478,24,No
CUST_462,56,835311,531438,656,36,No
CUST_463,54,1914219,375145,718,36,No
CUST_464,51,1135783,205049,500,24,Yes
CUST_465,30,1557719,624120,312,12,No
CUST_466,39,262780,658278,742,24,No
CUST_467,52,1009340,1308542,585,36,Yes
CUST_468,21,1965520,1170780,557,48,Yes
CUST_469,25,1636998,95784,847,60,No
CUST_470,65,1692017,1108497,789,48,Yes
CUST_471,24,1941888,1354140,797,48,No
CUST_472,36,1349282,663794,632,60,Yes
CUST_473,44,1941599,1172984,331,24,Yes
CUST_474,36,322019,1103498,342,12,Yes
CUST_475,22,571852,513144,650,48,No
CUST_476,48,1965317,1150911,633,12,No
CUST_477,52,379001,855983,569,36,No
CUST_478,47,995775,1249029,712,48,No
CUST_479,40,1348836,949751,318,36,No
CUST_480,44,1419439,367817,646,24,No
CUST_481,32,884494,72948,336,48,Yes
CUST_482,55,1229870,666552,391,36,Yes
CUST_483,53,1951037,109072,484,36,Yes
CUST_484,53,793731,1428280,327,24,No
CUST_485,63,954471,116691,847,12,No
CUST_486,57,519674,715442,671,12,No
CUST_487,32,1688591,1444825,829,48,No
CUST_488,23,860187,57086,644,24,Yes
CUST_489,21,296143,439962,718,48,No
CUST_490,53,1966589,642141,495,12,Yes
CUST_491,60,344771,1462645,377,24,Yes
CUST_492,30,1220332,1430747,466,60,No
CUST_493,63,1755289,1376636,389,24,No
CUST_494,64,1208923,851680,563,24,Yes
CUST_495,49,1100959,992529,771,60,Yes
CUST_496,33,860673,813210,507,36,Yes
CUST_497,32,1917534,622668,570,36,Yes
CUST_498,51,311362,1415265,562,36,No
CUST_499,22,1539527,1195070,805,12,No
CUST_500,55,1973326,165981,811,24,No
CUST_501,43,376298,216305,823,60,No
CUST_502,37,783838,66304,611,12,No
CUST_503,46,673288,1081477,473,60,Yes
CUST_504,28,465702,1372014,730,12,Yes
CUST_505,49,1192812,338569,762,12,No
CUST_506,46,512257,774071,400,12,No
CUST_507,30,1959814,1073657,315,60,No
CUST_508,46,1153847,1209353,557,48,Yes
CUST_509,54,1306795,1060815,543,12,Yes
CUST_510,61,1939122,452641,647,36,No
CUST_511,27,1154470,667752,548,24,Yes
CUST_512,24,889129,1012494,404,48,No
CUST_513,65,975292,852523,586,48,Yes
CUST_514,31,436495,1352750,468,60,Yes
CUST_515,49,1826082,705362,719,48,No
CUST_516,56,481373,1352466,346,60,Yes
CUST_517,45,1800741,624699,342,60,No
CUST_518,41,389073,484174,620,36,No
CUST_519,56,559281,1357477,520,12,Yes
CUST_520,30,1024516,145696,812,48,No
CUST_521,57,1068212,726067,740,12,No
CUST_522,29,1210396,720608,443,12,Yes
CUST_523,44,1396454,1019224,327,12,No
CUST_524,55,419707,720397,466,60,Yes
CUST_525,55,441249,117421,548,12,Yes
CUST_526,56,1285610,286436,656,48,No
CUST_527,38,371389,1401332,410,60,Yes
CUST_528,59,1660886,531247,533,48,No
CUST_529,52,1961732,1108067,323,60,No
CUST_530,44,1259165,167026,325,24,Yes
CUST_531,43,1305797,124804,680,24,No
CUST_532,52,1504503,929725,645,24,No
CUST_533,57,1609020,812803,677,24,No
CUST_534,32,841517,864746,821,60,No
CUST_535,33,1025963,537335,316,12,No
CUST_536,43,776515,1083061,544,36,Yes
CUST_537,45,465308,1447806,838,36,No
CUST_538,55,293078,770989,501,24,No
CUST_539,61,1027679,1462011,547,12,Yes
CUST_540,50,959401,1340799,417,48,No
CUST_541,37,774887,584255,308,12,No
CUST_542,40,664761,1311402,322,48,Yes
CUST_543,45,1758244,1403940,539,36,Yes
CUST_544,42,1126921,1416851,326,12,No
CUST_545,33,1438227,531930,380,12,Yes
CUST_546,39,1749317,78876,498,36,Yes
CUST_547,56,268207,937880,391,12,No
CUST_548,32,534199,1030043,383,48,No
CUST_549,61,1088698,279192,599,12,Yes
CUST_550,39,1588990,1409948,595,48,Yes
CUST_551,32,311426,1353343,753,24,No
CUST_552,29,1759657,302313,580,12,Yes
CUST_553,27,334794,1126837,358,48,Yes
CUST_554,48,1606352,1205177,641,36,No
CUST_555,34,1943967,1159836,764,24,Yes
CUST_556,51,1983171,1052297,641,12,No
CUST_557,39,745726,1495138,361,48,Yes
CUST_558,36,783107,1063847,728,12,No
CUST_559,25,243856,364444,555,48,Yes
CUST_560,55,1675368,192412,646,12,Yes
CUST_561,32,642244,869444,825,24,No
CUST_562,45,1308383,948760,603,24,Yes
CUST_563,41,1036309,418781,544,12,No
CUST_564,56,690999,722636,711,12,No
CUST_565,43,1292037,1415359,516,60,Yes
CUST_566,36,817762,434083,815,12,No
CUST_567,59,545280,581598,773,12,No
CUST_568,65,1531155,1463664,335,24,Yes
CUST_569,62,1988053,528096,477,12,Yes
CUST_570,59,607407,1220589,686,36,Yes
CUST_571,34,1071158,231693,316,12,Yes
CUST_572,51,1503306,716252,347,60,Yes
CUST_573,25,1495308,783946,361,48,No
CUST_574,55,620602,1003646,368,24,No
CUST_575,43,1935657,488895,665,36,Yes
CUST_576,49,1827650,222687,461,48,Yes
CUST_577,63,475848,1277201,787,36,No
CUST_578,31,256635,1207840,730,24,No
CUST_579,38,1119627,653359,788,60,No
CUST_580,32,1601430,746362,529,24,Yes
CUST_581,29,965197,1483331,669,36,Yes
CUST_582,30,445984,1169234,477,36,No
CUST_583,64,1573713,317531,709,24,No
CUST_584,37,1361328,1488291,569,12,Yes
CUST_585,58,1459770,704669,505,24,Yes
CUST_586,27,428584,1073439,381,60,Yes
CUST_587,33,1667208,352138,492,24,Yes
CUST_588,60,332886,284484,488,48,Yes
CUST_589,62,1327113,1477632,575,12,Yes
CUST_590,29,1036690,476941,373,48,No
CUST_591,47,1920444,705920,309,24,Yes
CUST_592,22,285166,436354,515,12,Yes
CUST_593,25,1982852,892997,589,48,Yes
CUST_594,49,575854,1362032,744,48,No
CUST_595,57,1546419,985709,492,12,Yes
CUST_596,58,508479,438026,588,12,Yes
CUST_597,39,1064285,137566,443,36,Yes
CUST_598,28,1967704,333473,688,12,No
CUST_599,65,497883,1333326,706,24,No
CUST_600,21,759073,1206813,669,60,Yes
CUST_601,42,363052,1475196,740,36,Yes
CUST_602,37,956079,1396365,828,12,No
CUST_603,27,1736494,1186078,312,60,Yes
CUST_604,45,1643401,536598,639,36,No
CUST_605,65,266253,399454,611,24,No
CUST_606,24,678697,906051,403,60,No
CUST_607,56,815416,583037,638,12,No
CUST_608,26,361081,634933,497,12,No
CUST_609,51,1114013,263933,599,24,Yes
CUST_610,39,835254,1151751,743,36,No
CUST_611,64,1386430,1051720,658,60,No
CUST_612,59,823640,1030213,667,24,No
CUST_613,47,619149,198395,468,36,Yes
CUST_614,30,1912243,100762,448,48,Yes
CUST_615,46,947567,638510,341,48,No
CUST_616,39,832585,477709,501,36,Yes
CUST_617,59,1979810,1287976,543,12,Yes
CUST_618,23,762634,305539,763,12,No
CUST_619,65,1360714,1110789,748,48,Yes
CUST_620,33,512916,671655,736,12,No
CUST_621,48,240149,1075336,830,12,Yes
CUST_622,40,548844,1257361,572,36,Yes
CUST_623,48,1931462,1131159,729,36,No
CUST_624,28,1083190,703080,512,12,Yes
CUST_625,61,1727504,129944,403,36,Yes
CUST_626,59,328447,1120945,491,60,Yes
CUST_627,21,661693,1118086,679,48,No
CUST_628,23,1254271,1090444,380,60,Yes
CUST_629,33,1812033,62120,848,60,No
CUST_630,48,1034379,674135,676,12,No
CUST_631,45,1426872,672863,453,12,Yes
CUST_632,53,1032297,1489989,539,60,Yes
CUST_633,58,880913,1366015,673,60,Yes
CUST_634,26,1615221,594748,503,24,No
CUST_635,64,1571130,589251,649,24,No
CUST_636,65,1614474,601616,442,48,No
CUST_637,52,553039,921061,488,60,Yes
